case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
varlen_mixed,varlen,2,0,16,state_checkpoint,fp32_state,4.684915383412758e-08,1.9645313419494817e-09,3.7517994280145915e-09,0.07335198484583329,5.1147892397184537e-08
varlen_mixed,varlen,2,0,64,state_checkpoint,bf16_state,0.001761387094490252,7.201195929097487e-05,0.00013269738141434784,0.0803604700514919,0.0016512768196766453
varlen_mixed,varlen,2,0,64,state_checkpoint,fp32_state,8.03898344559073e-08,2.3038674651688127e-09,4.4020056347349604e-09,0.0803604700514919,5.477824646762674e-08
varlen_mixed,varlen,2,0,256,state_checkpoint,bf16_state,0.0009081322341802922,3.1562759268696805e-05,5.800539620066704e-05,0.035538100332387246,0.0016322030625763211
varlen_mixed,varlen,2,0,256,state_checkpoint,fp32_state,2.2730975518525653e-08,9.60053223372281e-10,1.8274120541913389e-09,0.035538100332387246,5.142120814279844e-08
varlen_mixed,varlen,2,0,257,final_state,bf16_state,0.0007322311499215473,3.271513214946784e-05,5.994238714191435e-05,0.03612231830683599,0.0016594280198945735
varlen_mixed,varlen,2,0,257,final_state,fp32_state,2.296702730775202e-08,9.925186889859704e-10,1.9287072075019896e-09,0.03612231830683599,5.339378251193225e-08
varlen_mixed,varlen,3,0,16,state_checkpoint,bf16_state,0.0009573178952570482,3.139332448835646e-05,6.15057970968623e-05,0.037200533727218606,0.0016533579208262864
varlen_mixed,varlen,3,0,16,state_checkpoint,fp32_state,3.3535599908152136e-08,1.0246940627004936e-09,2.0571693543696267e-09,0.037200533727218606,5.5299458052249735e-08
varlen_mixed,varlen,3,0,64,state_checkpoint,bf16_state,0.0019374224648815996,5.518374099527914e-05,0.00010674370330880351,0.06412336971029209,0.0016646614766358833
varlen_mixed,varlen,3,0,64,state_checkpoint,fp32_state,7.706638960325307e-08,1.661374854259023e-09,3.426745294460459e-09,0.06412336971029209,5.343988174580368e-08
varlen_mixed,varlen,3,0,256,state_checkpoint,bf16_state,0.0008826596938013576,4.8300973719638294e-05,8.657577342459816e-05,0.05281348512518468,0.001639274007753629
varlen_mixed,varlen,3,0,256,state_checkpoint,fp32_state,4.4991624204016034e-08,1.4758681714279014e-09,2.7648212333049016e-09,0.05281348512518468,5.235066814377805e-08
