case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
fixed_baseline,fixed,0,3840,4096,output_window,bf16_state,1.7842578118590878e-05,8.157441694574449e-08,4.689790887355259e-07,0.004482479984018466,0.00010462491531643032
fixed_baseline,fixed,0,3840,4096,output_window,fp32_state,1.2208396751867134e-08,3.1748448807901155e-10,5.616638370032365e-10,0.004482479984018466,1.2530202901201013e-07
fixed_baseline,fixed,0,4096,4352,output_window,bf16_state,1.0911516979706607e-05,6.066558041467126e-08,3.5673978288210197e-07,0.004386006150846713,8.133590574496431e-05
fixed_baseline,fixed,0,4096,4352,output_window,fp32_state,8.720732955214139e-09,3.0804240279966826e-10,5.351044758986745e-10,0.004386006150846713,1.2200267338780937e-07
fixed_baseline,fixed,0,4352,4608,output_window,bf16_state,1.305848646305412e-05,5.99732750346225e-08,3.588364795737783e-07,0.004855141846531251,7.390854704485071e-05
fixed_baseline,fixed,0,4352,4608,output_window,fp32_state,9.071519757597457e-09,3.3405810843059704e-10,5.900592226013851e-10,0.004855141846531251,1.215328493487687e-07
fixed_baseline,fixed,0,4608,4864,output_window,bf16_state,1.4294934677994923e-05,7.333851433329683e-08,4.0892731953085086e-07,0.004264073779665144,9.590062007861499e-05
fixed_baseline,fixed,0,4608,4864,output_window,fp32_state,8.44013491041462e-09,3.168180052541655e-10,5.500292341196702e-10,0.004264073779665144,1.2899149089368328e-07
fixed_baseline,fixed,0,4864,5120,output_window,bf16_state,8.76271217975554e-06,5.749773642607396e-08,3.271842192478578e-07,0.004247205683051763,7.703517174914982e-05
fixed_baseline,fixed,0,4864,5120,output_window,fp32_state,7.768725114598585e-09,3.2708956815266995e-10,5.546288021102325e-10,0.004247205683051763,1.3058675362096253e-07
fixed_baseline,fixed,0,5120,5376,output_window,bf16_state,1.1451811134027563e-05,6.49567939541461e-08,3.6246351358490136e-07,0.004547029994965198,7.971434408531443e-05
fixed_baseline,fixed,0,5120,5376,output_window,fp32_state,9.301809898720759e-09,3.099878782984405e-10,5.34721283040839e-10,0.004547029994965198,1.1759792295914502e-07
fixed_baseline,fixed,0,5376,5632,output_window,bf16_state,1.0265997643540666e-05,6.250783074077773e-08,3.226129532446415e-07,0.0042055386506048694,7.671144651072011e-05
fixed_baseline,fixed,0,5376,5632,output_window,fp32_state,8.582097629772356e-09,3.1734959058379314e-10,5.487981896560299e-10,0.0042055386506048694,1.3049414956086492e-07
fixed_baseline,fixed,0,5632,5888,output_window,bf16_state,1.3936744525111684e-05,6.178534414603057e-08,3.5292162554704647e-07,0.0041477014724238,8.508848283644893e-05
fixed_baseline,fixed,0,5632,5888,output_window,fp32_state,7.96714130779641e-09,3.090347569758079e-10,5.321582046618769e-10,0.0041477014724238,1.283019542751467e-07
fixed_baseline,fixed,0,5888,6144,output_window,bf16_state,9.383215785571664e-06,6.036396132862307e-08,3.190058510795876e-07,0.004419224116681694,7.218594093823027e-05
fixed_baseline,fixed,0,5888,6144,output_window,fp32_state,8.716673993713897e-09,3.2110469700414715e-10,5.587290340869661e-10,0.004419224116681694,1.2643147741203596e-07
fixed_baseline,fixed,0,6144,6400,output_window,bf16_state,7.742516867401995e-06,5.3627069212931927e-08,2.7958770167769423e-07,0.004128104220919474,6.772786894789691e-05
